Date,Open,High,Low,Close,Volume
2021-03-24,32470.88,32787.99,32418.15,32420.06,456858883
2021-03-25,32346.81,32672.69,32071.41,32619.48,463916838
2021-03-26,32681.07,33098.83,32681.07,33072.88,440533072
2021-03-29,33087.55,33259,32905.13,33171.37,396823512
2021-03-30,33127.88,33170.93,32988.92,33066.96,353896630
2021-03-31,33116.04,33173.77,32980.57,32981.55,463763557
2021-04-01,33054.58,33167.17,32985.35,33153.21,361763930
2021-04-05,33222.38,33617.95,33222.38,33527.19,390469827
2021-04-06,33500.02,33544.79,33380.43,33430.24,341993950
2021-04-07,33444.98,33521.76,33347.96,33446.26,324303431
2021-04-08,33469.89,33506.8,33342.64,33503.57,342100247
2021-04-09,33526.19,33810.87,33526.19,33800.6,363565693
2021-04-12,33775.06,33786.19,33665.54,33745.4,374834600
2021-04-13,33721.16,33741.64,33545.84,33677.27,379496367
2021-04-14,33668.95,33911.25,33668.95,33730.89,367682453
2021-04-15,33788.53,34068.73,33788.53,34035.99,366262354
2021-04-16,34058.16,34256.75,34058.16,34200.67,421407753
2021-04-19,34182.38,34182.38,33980.56,34077.63,366562152
2021-04-20,34034.18,34034.18,33687.01,33821.3,404602211
2021-04-21,33808.3,34160.34,33773.8,34137.31,343539008
2021-04-22,34109.88,34126.57,33717.19,33815.9,398528744
2021-04-23,33804.52,34157.57,33713.29,34043.49,382946618
2021-04-26,34044.23,34148.94,33941.37,33981.57,325552440
2021-04-27,33932.13,34043.98,33870.46,33984.93,338943330
2021-04-28,33860.46,33946.6,33805.56,33820.38,398723167
2021-04-29,33855.64,34087.21,33744.28,34060.36,458048125
2021-04-30,33988.75,33988.75,33784.96,33874.85,431923354
2021-05-03,33904.89,34221.06,33904.89,34113.23,353663836
2021-05-04,34080.2,34147.78,33765.68,34133.03,483639078
2021-05-05,34163.99,34331.2,34039.66,34230.34,326697630
2021-05-06,34245.11,34561.29,34185.06,34548.53,394242898
2021-05-07,34578.27,34811.39,34464.31,34777.76,375114370
2021-05-10,34785.27,35091.56,34741.57,34742.82,430788989
2021-05-11,34572.74,34572.74,34075.31,34269.16,473509519
2021-05-12,34206.4,34207.87,33555.22,33587.66,441359019
2021-05-13,33624.74,34181.77,33623.49,34021.45,396789866
2021-05-14,34050.86,34454.05,34050.86,34382.13,342905313
2021-05-17,34375.29,34383.84,34176.65,34327.79,336039109
2021-05-18,34351.18,34408.99,34044.1,34060.66,343203774
2021-05-19,33945.81,33945.81,33473.8,33896.04,403833124
2021-05-20,33906.3,34233.4,33872.41,34084.15,363036183
2021-05-21,34121.91,34415.48,34121.91,34207.84,348076278
2021-05-24,34253.87,34472.51,34253.87,34393.98,283121988
2021-05-25,34428.66,34511.35,34266.03,34312.46,339153231
2021-05-26,34336.34,34409.59,34271.44,34323.05,310227166
2021-05-27,34432.47,34608.82,34389.24,34464.64,582378357
2021-05-28,34558.5,34631.11,34520.09,34529.45,308099352
2021-06-01,34584.19,34849.32,34542.87,34575.31,337295799
2021-06-02,34614.62,34706.65,34545.96,34600.38,302421498
2021-06-03,34550.31,34667.41,34334.41,34577.04,334321380
2021-06-04,34618.69,34772.12,34618.69,34756.39,306595177
2021-06-07,34766.2,34820.91,34574.51,34630.24,299990040
2021-06-08,34645.84,34665.38,34452.94,34599.82,340651885
2021-06-09,34626.16,34654.67,34439.37,34447.14,302696556
2021-06-10,34502.51,34737.79,34447.25,34466.24,377521252
2021-06-11,34499.81,34618.09,34328.65,34479.6,297377139
2021-06-14,34472.52,34472.52,34211.54,34393.75,338121278
2021-06-15,34397.1,34420.38,34199.16,34299.33,324089387
2021-06-16,34308.48,34333.25,33917.11,34033.67,391112451
2021-06-17,34014.38,34091.79,33626.61,33823.45,403334814
2021-06-18,33622.7,33622.7,33271.93,33290.08,640224674
2021-06-21,33312.07,33908.09,33312.07,33876.97,371791303
2021-06-22,33872.56,34040.7,33751.06,33945.58,324672607
2021-06-23,33948.54,34009.4,33869.83,33874.24,295238830
2021-06-24,33933.91,34233.02,33933.91,34196.82,312093292
2021-06-25,34328.1,34501.02,34314.8,34433.84,479748443
2021-06-28,34428.1,34449.65,34186.13,34283.27,320257590
2021-06-29,34338.89,34469.83,34266.83,34292.29,321388212
2021-06-30,34290.74,34553.16,34245.48,34502.51,333493947
2021-07-01,34507.32,34640.28,34498.85,34633.53,309690314
2021-07-02,34642.42,34821.93,34613.49,34786.35,332517041
2021-07-06,34790.16,34814.2,34358.42,34577.37,390545107
2021-07-07,34604.17,34708.78,34435.59,34681.79,340215866
2021-07-08,34569.01,34569.01,34145.59,34421.93,374853414
2021-07-09,34457.51,34893.72,34457.51,34870.16,340542786
2021-07-12,34836.75,35014.9,34730.15,34996.18,344868996
2021-07-13,34959.96,35018.79,34876.89,34888.79,349211627
2021-07-14,34920.83,35069.18,34826.87,34933.23,381986325
2021-07-15,34924.81,34990.41,34762.87,34987.02,348417997
2021-07-16,35007.94,35090.01,34647.82,34687.85,371369144
2021-07-19,34528.48,34528.48,33741.76,33962.04,510463173
2021-07-20,33981.79,34621.79,33981.79,34511.99,433906425
