Date,Open,High,Low,Close,Volume
2021-03-24,13289.242,13292.918,12961.352,12961.89,4613822410
2021-03-25,12844.582,13021.864,12786.807,12977.68,4443185709
2021-03-26,12996.026,13149.552,12878.723,13138.72,4224808116
2021-03-29,13103.973,13143.41,12968.16,13059.65,3927987698
2021-03-30,13008.805,13075.75,12922.574,13045.39,3635254668
2021-03-31,13122.574,13325.539,13118.383,13246.87,4118512023
2021-04-01,13414.325,13487.075,13404.178,13480.11,3632937522
2021-04-05,13594.898,13720.578,13582.758,13705.59,3696295583
2021-04-06,13681.672,13776.711,13674.281,13698.38,3258848409
2021-04-07,13675.296,13733.03,13653.585,13688.84,3334618581
2021-04-08,13796.893,13830.141,13758.709,13829.31,3333772017
2021-04-09,13787.016,13905.414,13748.348,13900.19,3148118876
2021-04-12,13854.438,13877,13783.945,13850,3472428501
2021-04-13,13902.449,14011.508,13902.449,13996.1,3452154449
2021-04-14,14004.074,14033.633,13839.043,13857.84,3251533467
2021-04-15,13983.227,14049.13,13970.416,14038.76,3530531400
2021-04-16,14059.114,14062.495,13977.049,14052.34,3335039179
2021-04-19,13984.582,14041.785,13842.574,13914.77,3353612007
2021-04-20,13894.457,13927.672,13698.668,13786.27,3386122952
2021-04-21,13745.773,13951.352,13706.859,13950.22,3204735778
2021-04-22,13952.566,14015.873,13771.039,13818.41,3612145495
2021-04-23,13861.366,14062.736,13856.828,14016.81,3694614169
2021-04-26,14052.383,14154.031,14019.5,14138.78,3779359613
2021-04-27,14170.914,14171.242,14064.277,14090.22,3859530791
2021-04-28,14082.781,14133.66,14034.7,14051.03,3767372980
2021-04-29,14204.515,14211.572,13952.797,14082.55,4144305345
2021-04-30,13970.729,14084.758,13941.628,13962.68,4147512913
2021-05-03,14031.77,14042.12,13881.51,13895.12,4103000448
2021-05-04,13774.51,13795.57,13485.59,13633.5,5007707097
2021-05-05,13731.13,13753.05,13553.93,13582.42,3853147015
2021-05-06,13557.83,13635.73,13439.39,13632.84,4084070335
2021-05-07,13723.09,13828.62,13690.75,13752.24,3649834623
2021-05-10,13687.59,13687.93,13401.75,13401.86,3860245731
2021-05-11,13115.86,13423.31,13107.67,13389.43,3700328603
2021-05-12,13215.49,13288.61,13002.54,13031.68,3542869904
2021-05-13,13150.94,13247.87,13007.24,13124.99,3587746531
2021-05-14,13255.65,13460.88,13242.97,13429.98,3186765928
2021-05-17,13368.8,13399.17,13265.4,13379.05,3192149761
2021-05-18,13416.9,13485.34,13299.93,13303.64,3561588515
2021-05-19,13078.19,13304.61,13072.23,13299.74,3452741655
2021-05-20,13356.63,13563.52,13355.71,13535.74,3189559592
2021-05-21,13616.19,13616.58,13463.27,13470.99,2928942144
2021-05-24,13557.21,13708.85,13551.01,13661.17,2809988437
2021-05-25,13721.54,13751.14,13631.8,13657.17,3420633290
2021-05-26,13693.94,13750.16,13679.59,13738,3438865738
